feature_set,scenario,scenario_sign,year,horizon_from_2028,Y_shortfall_pct,direct_discretionary_PB_level_pp,delta_cyclical_PB_pp,baseline_PB_pp,PB_new_pp,nominal_gdp_growth_new_pct,baseline_D_Y_pp,D_Y_new_pp,dsa_margin_vs_baseline_pp,direct_DY_LP_margin_initial_action_pp
trade+debt,three_1pp_expansion_2028_2030,expansion,2027,-1,0.0,0.0,0.0,-3.824702739715576,-3.824702739715576,6.173631620015585,69.67215728759766,69.67215728759766,0.0,0.0
trade+debt,three_1pp_expansion_2028_2030,expansion,2028,0,-1.3660470572177754,-1.0,0.6557025874645321,-3.879892110824585,-4.224189523360053,6.862620979215994,73.19452667236328,72.60471405986893,-0.5898126124943559,-1.1659304137968867
trade+debt,three_1pp_expansion_2028_2030,expansion,2029,1,-3.493562480993348,-2.0163069897979833,1.676909990876807,-3.947735786437988,-4.287132785359164,7.440585525395993,77.04766845703125,75.30741026020593,-1.740258196825323,-2.8560107356141797
trade+debt,three_1pp_expansion_2028_2030,expansion,2030,2,-5.458951125877419,-2.83689044360534,2.620296540421161,-3.9902679920196538,-4.206861895203833,7.1713661865184575,81.12287902832031,78.19227464309452,-2.9306043852257915,-3.9947743429745453
trade+debt,three_1pp_expansion_2028_2030,expansion,2031,3,-5.497096188904095,-2.5053270485494084,2.6386061706739654,-3.907489061355591,-3.7742099392310338,5.358409835706901,85.14363861083984,82.04734817243609,-3.0962904384037557,-3.3404811131713212
trade+debt,three_1pp_expansion_2028_2030,expansion,2032,4,-4.345521891736386,-2.084437695013484,2.0858505080334653,-4.024710655212402,-4.023297842192422,4.269696630896935,89.33782958984375,87.14125977356328,-2.1965698162804728,-1.3384252727393835
trade+debt,three_1pp_expansion_2028_2030,expansion,2033,5,-3.1055182507745203,-1.858128767182219,1.4906487603717697,-3.841931581497192,-4.209411588307642,4.245620789815185,93.42025756835938,92.63608423102066,-0.7841733373387143,0.8932597102682006
trade+debt,three_1pp_expansion_2028_2030,expansion,2034,6,-2.355114489683902,-1.769136204043163,1.1304549550482728,-3.859153032302856,-4.497834281297746,4.775947816274284,97.61768341064452,98.15095779785933,0.5332743872148171,2.0724519268259023
trade+debt,three_1pp_expansion_2028_2030,expansion,2035,7,-2.2156010101329824,-1.7996653480522584,1.0634884848638315,-3.876374483108521,-4.612551346296948,5.377798233457476,101.9944839477539,103.4013178174269,1.4068338696729938,1.6197966038237075
trade+debt,three_1pp_expansion_2028_2030,expansion,2036,8,-2.6316227655834936,-1.8865826222953495,1.2631789274800769,-3.893596172332764,-4.516999867148037,5.643005498011622,106.79410552978516,108.41397353127704,1.6198680014918807,-0.4287243893398466
trade+debt+liq,three_1pp_cut_2028_2030,cut,2024,-4,0.0,0.0,0.0,-4.269382953643799,-4.269382953643799,,55.08902359008789,55.08902359008789,0.0,0.0
trade+debt+liq,three_1pp_cut_2028_2030,cut,2025,-3,0.0,0.0,0.0,-4.325899124145508,-4.325899124145508,6.943162276891779,59.51612854003906,59.51612854003906,0.0,0.0
trade+debt+liq,three_1pp_cut_2028_2030,cut,2026,-2,0.0,0.0,0.0,-3.591127634048462,-3.591127634048462,6.625874450677793,64.90138244628906,64.90138244628906,0.0,0.0
trade+debt+liq,three_1pp_cut_2028_2030,cut,2027,-1,0.0,0.0,0.0,-3.824702739715576,-3.824702739715576,6.173631620015585,69.67215728759766,69.67215728759766,0.0,0.0
trade+debt+liq,three_1pp_cut_2028_2030,cut,2028,0,1.3459825414284918,1.0,-0.6460716198856761,-3.879892110824585,-3.525963730710261,4.003531575039454,73.19452667236328,73.78629013734414,0.5917634649808576,1.172839994342709
trade+debt+liq,three_1pp_cut_2028_2030,cut,2029,1,3.5548628694809734,2.0308421576215516,-1.7063341773508671,-3.947735786437988,-3.6232278061673036,2.87577027288608,77.04766845703125,79.00190070740862,1.9542322503773732,2.9120816195423744
trade+debt+liq,three_1pp_cut_2028_2030,cut,2030,2,5.608747366234153,2.8556713873643735,-2.6921987357923935,-3.9902679920196538,-3.8267953404476738,2.934289354916597,81.12287902832031,84.6367056207258,3.5138265924054934,4.087970461036429
trade+debt+liq,three_1pp_cut_2028_2030,cut,2031,3,5.673674215335666,2.526774203121796,-2.7233636233611196,-3.907489061355591,-4.1040784815949145,5.2478705336886255,85.14363861083984,88.91729610817544,3.7736574973355914,3.434259107696433
trade+debt+liq,three_1pp_cut_2028_2030,cut,2032,4,4.424301718923379,2.1034944229547268,-2.123664825083222,-4.024710655212402,-4.0448810573408975,6.816750458109522,89.33782958984375,91.97452865706715,2.636699067223404,1.3307574790179713
trade+debt+liq,three_1pp_cut_2028_2030,cut,2033,5,3.1178131908846334,1.8835264996316456,-1.496550331624624,-3.841931581497192,-3.45495541349017,6.941477338844448,93.42025756835938,94.43343209734046,1.0131745289810823,-0.9724556003844547
trade+debt+liq,three_1pp_cut_2028_2030,cut,2034,6,2.377972967856434,1.8013277540954291,-1.1414270245710882,-3.859153032302856,-3.1992523027785156,6.350086481925699,97.61768341064452,97.25635622224291,-0.36132718840160294,-2.2385328726954317
trade+debt+liq,three_1pp_cut_2028_2030,cut,2035,7,2.277008247816859,1.8266224392387829,-1.0929639589520923,-3.876374483108521,-3.14271600282183,5.630762590018268,101.9944839477539,100.79664471601286,-1.1978392317410425,-1.809913469128858
trade+debt+liq,three_1pp_cut_2028_2030,cut,2036,8,2.71382668834958,1.9057655677720615,-1.3026368104077983,-3.893596172332764,-3.290467414968501,4.74447050644855,106.79410552978516,105.43909639160034,-1.355009138184812,0.20937019397200118
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2024,-4,0.0,0.0,0.0,-4.269382953643799,-4.269382953643799,,55.08902359008789,55.08902359008789,0.0,0.0
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2025,-3,0.0,0.0,0.0,-4.325899124145508,-4.325899124145508,6.943162276891779,59.51612854003906,59.51612854003906,0.0,0.0
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2026,-2,0.0,0.0,0.0,-3.591127634048462,-3.591127634048462,6.625874450677793,64.90138244628906,64.90138244628906,0.0,0.0
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2027,-1,0.0,0.0,0.0,-3.824702739715576,-3.824702739715576,6.173631620015585,69.67215728759766,69.67215728759766,0.0,0.0
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2028,0,-1.3459825414284918,-1.0,0.6460716198856761,-3.879892110824585,-4.233820490938909,6.841468465054001,73.19452667236328,72.62788302944683,-0.5666436429164463,-1.172839994342709
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2029,1,-3.5548628694809734,-2.0308421576215516,1.7063341773508671,-3.947735786437988,-4.272243766708672,7.525507506254625,77.04766845703125,75.25907598523322,-1.788592471798026,-2.9120816195423744
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2030,2,-5.608747366234153,-2.8556713873643735,2.6921987357923935,-3.9902679920196538,-4.153740643591634,7.2600634504074835,81.12287902832031,78.03052563703791,-3.0923533912824013,-4.087970461036429
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2031,3,-5.673674215335666,-2.526774203121796,2.7233636233611196,-3.907489061355591,-3.7108996411162676,5.385064442813259,85.14363861083984,81.80236524607501,-3.341273364764831,-3.434259107696433
